Timestamp,Location,Occupancy Level
2025-02-27 17:22:00,Lower Exercise Room,71%
2025-02-27 17:22:00,Upper Exercise Room,94%
2025-02-27 17:22:00,Track Exercise Room,94%
2025-02-27 17:22:00,Open Space,33%
2025-02-27 17:22:00,Chandler Lounge,57%
2025-02-27 17:22:00,San Luis Lounge,23%
2025-02-27 17:24:00,Lower Exercise Room,74%
2025-02-27 17:24:00,Upper Exercise Room,94%
2025-02-27 17:24:00,Track Exercise Room,94%
2025-02-27 17:24:00,Open Space,32%
2025-02-27 17:24:00,Chandler Lounge,47%
2025-02-27 17:24:00,San Luis Lounge,23%
2025-02-27 17:39:00,Lower Exercise Room,67%
2025-02-27 17:39:00,Upper Exercise Room,94%
2025-02-27 17:39:00,Track Exercise Room,94%
2025-02-27 17:39:00,Open Space,31%
2025-02-27 17:39:00,Chandler Lounge,47%
2025-02-27 17:39:00,San Luis Lounge,21%
2025-02-27 18:09:00,Lower Exercise Room,53%
2025-02-27 18:09:00,Upper Exercise Room,94%
2025-02-27 18:09:00,Track Exercise Room,87%
2025-02-27 18:09:00,Open Space,22%
2025-02-27 18:09:00,Chandler Lounge,33%
2025-02-27 18:09:00,San Luis Lounge,20%
2025-02-27 18:24:00,Lower Exercise Room,60%
2025-02-27 18:24:00,Upper Exercise Room,94%
2025-02-27 18:24:00,Track Exercise Room,94%
2025-02-27 18:24:00,Open Space,21%
2025-02-27 18:24:00,Chandler Lounge,33%
2025-02-27 18:24:00,San Luis Lounge,19%
2025-02-27 18:39:00,Lower Exercise Room,60%
2025-02-27 18:39:00,Upper Exercise Room,94%
2025-02-27 18:39:00,Track Exercise Room,94%
2025-02-27 18:39:00,Open Space,21%
2025-02-27 18:39:00,Chandler Lounge,30%
2025-02-27 18:39:00,San Luis Lounge,21%
2025-02-27 18:54:00,Lower Exercise Room,45%
2025-02-27 18:54:00,Upper Exercise Room,94%
2025-02-27 18:54:00,Track Exercise Room,94%
2025-02-27 18:54:00,Open Space,22%
2025-02-27 18:54:00,Chandler Lounge,37%
2025-02-27 18:54:00,San Luis Lounge,23%
2025-02-27 19:09:00,Lower Exercise Room,55%
2025-02-27 19:09:00,Upper Exercise Room,87%
2025-02-27 19:09:00,Track Exercise Room,94%
2025-02-27 19:09:00,Open Space,22%
2025-02-27 19:09:00,Chandler Lounge,30%
2025-02-27 19:09:00,San Luis Lounge,19%
2025-02-27 19:24:00,Lower Exercise Room,48%
2025-02-27 19:24:00,Upper Exercise Room,94%
2025-02-27 19:24:00,Track Exercise Room,94%
2025-02-27 19:24:00,Open Space,24%
2025-02-27 19:24:00,Chandler Lounge,20%
2025-02-27 19:24:00,San Luis Lounge,19%
2025-02-27 19:54:00,Lower Exercise Room,42%
2025-02-27 19:54:00,Upper Exercise Room,72%
2025-02-27 19:54:00,Track Exercise Room,94%
2025-02-27 19:54:00,Open Space,25%
2025-02-27 19:54:00,Chandler Lounge,33%
2025-02-27 19:54:00,San Luis Lounge,15%
2025-02-27 20:09:00,Lower Exercise Room,33%
2025-02-27 20:09:00,Upper Exercise Room,80%
2025-02-27 20:09:00,Track Exercise Room,94%
2025-02-27 20:09:00,Open Space,23%
2025-02-27 20:09:00,Chandler Lounge,27%
2025-02-27 20:09:00,San Luis Lounge,10%
2025-02-27 20:24:00,Lower Exercise Room,52%
2025-02-27 20:24:00,Upper Exercise Room,94%
2025-02-27 20:24:00,Track Exercise Room,80%
2025-02-27 20:24:00,Open Space,25%
2025-02-27 20:24:00,Chandler Lounge,33%
2025-02-27 20:24:00,San Luis Lounge,11%
2025-02-27 20:39:00,Lower Exercise Room,51%
2025-02-27 20:39:00,Upper Exercise Room,82%
2025-02-27 20:39:00,Track Exercise Room,94%
2025-02-27 20:39:00,Open Space,23%
2025-02-27 20:39:00,Chandler Lounge,33%
2025-02-27 20:39:00,San Luis Lounge,10%
2025-02-27 21:00:00,Lower Exercise Room,51%
2025-02-27 21:00:00,Upper Exercise Room,80%
2025-02-27 21:00:00,Track Exercise Room,94%
2025-02-27 21:00:00,Open Space,24%
2025-02-27 21:00:00,Chandler Lounge,53%
2025-02-27 21:00:00,San Luis Lounge,9%
2025-02-27 21:15:00,Lower Exercise Room,51%
2025-02-27 21:15:00,Upper Exercise Room,79%
2025-02-27 21:15:00,Track Exercise Room,94%
2025-02-27 21:15:00,Open Space,25%
2025-02-27 21:15:00,Chandler Lounge,60%
2025-02-27 21:15:00,San Luis Lounge,8%
2025-02-27 21:30:00,Lower Exercise Room,49%
2025-02-27 21:30:00,Upper Exercise Room,66%
2025-02-27 21:30:00,Track Exercise Room,94%
2025-02-27 21:30:00,Open Space,23%
2025-02-27 21:30:00,Chandler Lounge,47%
2025-02-27 21:30:00,San Luis Lounge,9%
2025-02-27 21:45:00,Lower Exercise Room,46%
2025-02-27 21:45:00,Upper Exercise Room,77%
2025-02-27 21:45:00,Track Exercise Room,78%
2025-02-27 21:45:00,Open Space,22%
2025-02-27 21:45:00,Chandler Lounge,57%
2025-02-27 21:45:00,San Luis Lounge,10%
2025-02-27 22:00:00,Lower Exercise Room,42%
2025-02-27 22:00:00,Upper Exercise Room,91%
2025-02-27 22:00:00,Track Exercise Room,93%
2025-02-27 22:00:00,Open Space,20%
2025-02-27 22:00:00,Chandler Lounge,40%
2025-02-27 22:00:00,San Luis Lounge,8%
2025-02-27 22:15:00,Lower Exercise Room,46%
2025-02-27 22:15:00,Upper Exercise Room,72%
2025-02-27 22:15:00,Track Exercise Room,71%
2025-02-27 22:15:00,Open Space,21%
2025-02-27 22:15:00,Chandler Lounge,37%
2025-02-27 22:15:00,San Luis Lounge,6%
2025-02-27 22:45:00,Lower Exercise Room,46%
2025-02-27 22:45:00,Upper Exercise Room,54%
2025-02-27 22:45:00,Track Exercise Room,71%
2025-02-27 22:45:00,Open Space,20%
2025-02-27 22:45:00,Chandler Lounge,47%
2025-02-27 22:45:00,San Luis Lounge,8%
2025-02-27 23:00:00,Lower Exercise Room,44%
2025-02-27 23:00:00,Upper Exercise Room,59%
2025-02-27 23:00:00,Track Exercise Room,58%
2025-02-27 23:00:00,Open Space,18%
2025-02-27 23:00:00,Chandler Lounge,70%
2025-02-27 23:00:00,San Luis Lounge,6%
